Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
Decision Tree,0.9955611921369689,0.9955596728248501,0.9955611921369689,0.995560252972187,0.9942521485731362,0.01714620809070766
Random Forest,0.9974635383639823,0.9974656040398009,0.9974635383639823,0.9974642517889786,0.9999696265128364,0.14423791703302413
XGBoost,0.9850348763474952,0.985017637991567,0.9850348763474952,0.9850242904368082,0.9990857058758292,0.12311291601508856
LightGBM,0.9918833227647432,0.9919026626975905,0.9918833227647432,0.9918901483508601,0.9997020027884225,0.37994241702836007
CatBoost,0.9888395688015219,0.9888277360577861,0.9888395688015219,0.9888316742240603,0.9993149314136969,0.12359462503809482
